id	output
["0xA74516D54703DAFf7684925d965a01D5087cCb05",999]	{"name": "HIGHER", "symbol": "HIGHER", "decimals": 18}
["0xdbf6645b1221D8883d5C06c9a53c7E94e383C6df",999]	{"name": "FIRSTMEME", "symbol": "FIRST", "decimals": 18}
["0x98D2A0017356C8F306d9035cb8e8055405d8FB1c",999]	{"name": "HyperTrump", "symbol": "hTrump", "decimals": 18}
["0xa9d02D53699Eba4769B99d9e611c6eEC7b27C283",999]	{"name": "HYPERCAT", "symbol": "HYCAT", "decimals": 18}
["0xcF02f9E54422fc84Fc4f3acC7C8F163a1a687792",999]	{"name": "SHAKALAKA", "symbol": "BOOM", "decimals": 18}
["0x69aCee3b35ca4cb9aC6485388394331461CE603C",999]	{"name": "Hypurr", "symbol": "Hypurr", "decimals": 18}
["0x96E2BD33c8cd8a9234F01A91a195df117a8A0C31",999]	{"name": "AUTIST", "symbol": "AUTIST", "decimals": 18}
["0x5a2B08Ada2779857Be3d21E4018Ae70632d555b0",999]	{"name": "SHAKALAKA", "symbol": "BOOM", "decimals": 18}
["0xC0494f6b01cf6eA95a19FB4E31a0A1448a6B1F82",999]	{"name": "HSPX", "symbol": "HSPX", "decimals": 18}
["0x95ffBF3f0763C27230142719f7eF793a70F24b0C",999]	{"name": "HYPED", "symbol": "HYPED", "decimals": 18}
["0xE3335Cc20B22629aF776375f160A5D793ABEa134",999]	{"name": "OwariDa", "symbol": "OWARI", "decimals": 18}
["0xb16723F33A743A3a5e9909eBA5Be42E6cE08845D",999]	{"name": "LORA", "symbol": "LORA", "decimals": 18}
["0x5Bcaf3fB5932384c2F3e31163fa7587c640dc46C",999]	{"name": "BRATTIEST", "symbol": "BRAT", "decimals": 18}
["0xfD15878CD660D575f0314CE8F4f37f541CCa926D",999]	{"name": "JustOne", "symbol": "One", "decimals": 18}
["0x6b8c480954955ACEe11021444a03F8aD4A213770",999]	{"name": "LORA", "symbol": "LORA", "decimals": 18}
["0x7B742BBB1eA8E8931585e1745e9444696a19B3cb",999]	{"name": "FCKBINANCE", "symbol": "FCKBINANCE", "decimals": 18}
["0xC5f9a8204c9119d8CB47d6bA86ff8C0659cD67B9",999]	{"name": "hypedoge", "symbol": "hypedoge", "decimals": 18}
